plant_id,plant_name,scientific_name,category,temp_min,temp_max,temp_optimal,humidity_min,humidity_max,humidity_optimal,light_min_ppfd,light_max_ppfd,light_dli_min,light_dli_max,water_frequency_days,water_fc_min,water_fc_max,growth_rate_cm_month,maturity_days_min,maturity_days_max,wilting_fc_threshold,critical_fc_threshold,growth_stages
1,Basil,Ocimum basilicum,Herb,18,25,22,50,70,60,400,600,12,16,2.5,60,70,10-15,30,45,30,20,"Germination(5-10d)|Seedling(10-21d)|Vegetative(21-35d)|Pre-flowering(35-45d)|Flowering"
2,Mint,Mentha spp.,Herb,15,27,20,40,60,50,300,500,8,12,3,70,70,8-12,25,40,40,25,"Establishment(0-14d)|Branching(14-28d)|Canopy Development(28-42d)|Nutrient Remobilization(42+d)|Dormancy Trigger"
3,Rosemary,Rosmarinus officinalis,Herb,15,20,19,30,50,40,600,800,14,18,5.5,40,50,3-5,60,90,25,20,"Propagation(0-21d)|Root Establishment(21-60d)|Shoot Development(60-120d)|Flowering(90-120d)|Mature Woody Phase(120+d)"
4,Tomato,Solanum lycopersicum,Vegetable,16,28,24,50,70,65,700,1000,18,24,1,60,70,15-25,60,90,45,30,"Germination & Seedling(0-21d)|Vegetative/Transplant(21-45d)|Flowering Initiation(45-65d)|Fruit Development(65-95d)|Ripening & Harvest(95-120+d)"
5,Lettuce,Lactuca sativa,Vegetable,12,20,16,50,70,60,200,400,10,14,1.5,65,75,8-15,30,60,50,35,"Germination(3-7d)|Seedling Emergence(7-14d)|Leaf Expansion(14-28d)|Head Formation(28-42d)|Maturity & Harvest(42-60d)"
6,Spinach,Spinacia oleracea,Vegetable,10,18,14,50,70,60,200,350,8,12,2,70,70,5-10,35,50,45,25,"Germination(7-10d)|Seedling(10-20d)|Vegetative Rosette(20-35d)|Stem Elongation(35-45d)|Flowering/Senescence(45-60d)"
7,Pepper,Capsicum annuum,Vegetable,18,28,24.5,60,80,70,700,1000,16,20,2.5,60,70,10-20,90,150,40,25,"Germination(10-14d)|Seedling(14-35d)|Vegetative Growth(35-60d)|Flowering & Fruit Set(60-100d)|Fruit Expansion & Ripening(100-150+d)"
8,Monstera,Monstera deliciosa,Houseplant,16,29,22.5,60,80,70,100,300,3,5,8.5,50,60,1.25-2.5,730,1095,35,25,"Establishment(0-3mo)|Active Growth(3-12mo)|Fenestration Onset(1-2yr)|Climbing Support Dependency(2-3yr)|Reproductive Maturity(5+yr)"
9,Pothos,Epipremnum aureum,Houseplant,15,30,22.5,40,60,50,75,200,2,4,10.5,40,50,20-40,180,365,20,15,"Root Development(0-4wk)|Shoot Emergence(4-8wk)|Vining Phase(2-6mo)|Mature Vining(6-12+mo)|Senescence/Rejuvenation(12+mo)"
10,Snake Plant,Sansevieria trifasciata,Houseplant,16,27,21,30,50,40,50,200,1,3,21,30,40,2-5,365,730,30,20,"Establishment(0-2mo)|Shoot Emergence(2-4mo)|Blade Expansion(4-8mo)|Clumping/Rhizoid Proliferation(8-18mo)|Flowering & Reproduction(18+mo)"
11,Aloe Vera,Aloe barbadensis,Succulent,13,27,22.5,20,40,30,400,600,8,12,17.5,20,30,3-8,365,730,20,15,"Germination(10-14d)|Seedling Rosette(1-3mo)|Vegetative Expansion(3-12mo)|Pup/Offset Production(12-24mo)|Reproductive Maturity(24+mo)"
12,Cactus,Echinocereus spp.,Succulent,10,30,24,10,30,20,800,1200,16,20,21,15,25,0.17-0.42,730,1095,15,10,"Germination(2-4wk)|Seedling Development(1-6mo)|Juvenile Growth(6-24mo)|Sub-Adult Phase(24-48mo)|Flowering Maturity(48+mo)"
13,Petunia,Petunia hybrida,Flower,15,25,20,50,70,60,600,800,14,18,1.5,60,70,10-20,60,75,45,30,"Germination(7-10d)|Seedling(10-25d)|Vegetative Branching(25-45d)|Flower Bud Initiation(45-60d)|Flowering & Continuous Production(60-120+d)"
14,Sunflower,Helianthus annuus,Flower,10,30,23,50,70,60,800,1200,16,22,2.5,60,70,20-40,70,100,40,30,"Germination(7-10d)|Seedling & Emergence(10-21d)|Vegetative Growth(21-50d)|Flower Bud Development(50-75d)|Flowering & Seed Development(75-100+d)"
